city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population
Atoka,Atoka,TN,Tennessee,47167,Tipton,35.4239,-89.7861,21428
Prichard,Prichard,AL,Alabama,1097,Mobile,30.7735,-88.1301,21428
Hays,Hays,KS,Kansas,20051,Ellis,38.8815,-99.3218,21421
Birmingham,Birmingham,MI,Michigan,26125,Oakland,42.5447,-83.2166,21389
Easley,Easley,SC,South Carolina,45077,Pickens,34.819,-82.5828,21364
Brambleton,Brambleton,VA,Virginia,51107,Loudoun,38.9802,-77.5323,21358
Mountlake Terrace,Mountlake Terrace,WA,Washington,53061,Snohomish,47.7921,-122.3076,21338
Ramona,Ramona,CA,California,6073,San Diego,33.0474,-116.8767,21323
Owosso,Owosso,MI,Michigan,26155,Shiawassee,42.9955,-84.176,21315
King of Prussia,King of Prussia,PA,Pennsylvania,42091,Montgomery,40.0963,-75.382,21313
DeBary,DeBary,FL,Florida,12127,Volusia,28.8815,-81.324,21305
Eustis,Eustis,FL,Florida,12069,Lake,28.856,-81.6781,21303
South Euclid,South Euclid,OH,Ohio,39035,Cuyahoga,41.5239,-81.5245,21297
South Holland,South Holland,IL,Illinois,17031,Cook,41.5977,-87.6022,21296
Palm Valley,Palm Valley,FL,Florida,12109,St. Johns,30.2011,-81.3949,21292
North Plainfield,North Plainfield,NJ,New Jersey,34035,Somerset,40.6209,-74.4386,21289
Ashland,Ashland,OR,Oregon,41029,Jackson,42.1905,-122.6992,21281
Sapulpa,Sapulpa,OK,Oklahoma,40037,Creek,36.0089,-96.1006,21278
Duarte,Duarte,CA,California,6037,Los Angeles,34.161,-117.9504,21271
Marietta,Marietta,OH,Ohio,39167,Washington,39.4241,-81.4465,21267
Battle Ground,Battle Ground,WA,Washington,53011,Clark,45.7765,-122.5413,21252
Stephenville,Stephenville,TX,Texas,48143,Erath,32.2148,-98.2205,21247
Amsterdam,Amsterdam,NY,New York,36057,Montgomery,42.942,-74.1907,21241
Oxford,Oxford,AL,Alabama,1015,Calhoun,33.5967,-85.8687,21225
Park Forest,Park Forest,IL,Illinois,17031,Cook,41.4817,-87.6868,21210
Evans,Evans,CO,Colorado,8123,Weld,40.366,-104.7389,21205
Alexandria,Alexandria,MN,Minnesota,27041,Douglas,45.8777,-95.3766,21204
Fort Atkinson,Fort Atkinson,WI,Wisconsin,55055,Jefferson,42.9253,-88.8441,21196
Hazel Dell,Hazel Dell,WA,Washington,53011,Clark,45.6797,-122.6553,21196
